Mã,Tên,VKT
89,An Giang,Đồng bằng Sông Cửu Long
77,Bà Rịa - Vũng Tàu,Đông Nam Bộ
24,Bắc Giang,Trung du và miền núi Bắc Bộ
06,Bắc Kạn,Trung du và miền núi Bắc Bộ
95,Bạc Liêu,Đồng bằng Sông Cửu Long
27,Bắc Ninh,Đồng bằng sông Hồng
83,Bến Tre,Đồng bằng Sông Cửu Long
52,Bình Định,Bắc Trung Bộ và duyên hải miền Trung
74,Bình Dương,Đông Nam Bộ
70,Bình Phước,Đông Nam Bộ
60,Bình Thuận,Bắc Trung Bộ và duyên hải miền Trung
96,Cà Mau,Đồng bằng Sông Cửu Long
92,Cần Thơ,Đồng bằng Sông Cửu Long
04,Cao Bằng,Trung du và miền núi Bắc Bộ
48,Đà Nẵng,Bắc Trung Bộ và duyên hải miền Trung
66,Đắk Lắk,Tây Nguyên
67,Đắk Nông,Tây Nguyên
11,Điện Biên,Trung du và miền núi Bắc Bộ
75,Đồng Nai,Đông Nam Bộ
87,Đồng Tháp,Đồng bằng Sông Cửu Long
64,Gia Lai,Tây Nguyên
02,Hà Giang,Trung du và miền núi Bắc Bộ
35,Hà Nam,Đồng bằng sông Hồng
01,Hà Nội,Đồng bằng sông Hồng
42,Hà Tĩnh,Bắc Trung Bộ và duyên hải miền Trung
30,Hải Dương,Đồng bằng sông Hồng
31,Hải Phòng,Đồng bằng sông Hồng
93,Hậu Giang,Đồng bằng Sông Cửu Long
79,TP Hồ Chí Minh,Đông Nam Bộ
17,Hoà Bình,Trung du và miền núi Bắc Bộ
33,Hưng Yên,Đồng bằng sông Hồng
56,Khánh Hòa,Bắc Trung Bộ và duyên hải miền Trung
91,Kiên Giang,Đồng bằng Sông Cửu Long
62,Kon Tum,Tây Nguyên
12,Lai Châu,Trung du và miền núi Bắc Bộ
68,Lâm Đồng,Tây Nguyên
20,Lạng Sơn,Trung du và miền núi Bắc Bộ
10,Lào Cai,Trung du và miền núi Bắc Bộ
80,Long An,Đồng bằng Sông Cửu Long
36,Nam Định,Đồng bằng sông Hồng
40,Nghệ An,Bắc Trung Bộ và duyên hải miền Trung
37,Ninh Bình,Đồng bằng sông Hồng
58,Ninh Thuận,Bắc Trung Bộ và duyên hải miền Trung
25,Phú Thọ,Trung du và miền núi Bắc Bộ
54,Phú Yên,Bắc Trung Bộ và duyên hải miền Trung
44,Quảng Bình,Bắc Trung Bộ và duyên hải miền Trung
49,Quảng Nam,Bắc Trung Bộ và duyên hải miền Trung
51,Quảng Ngãi,Bắc Trung Bộ và duyên hải miền Trung
22,Quảng Ninh,Đồng bằng sông Hồng
45,Quảng Trị,Bắc Trung Bộ và duyên hải miền Trung
94,Sóc Trăng,Đồng bằng Sông Cửu Long
14,Sơn La,Trung du và miền núi Bắc Bộ
72,Tây Ninh,Đông Nam Bộ
34,Thái Bình,Đồng bằng sông Hồng
19,Thái Nguyên,Trung du và miền núi Bắc Bộ
38,Thanh Hóa,Bắc Trung Bộ và duyên hải miền Trung
46,Thừa Thiên Huế,Bắc Trung Bộ và duyên hải miền Trung
82,Tiền Giang,Đồng bằng Sông Cửu Long
84,Trà Vinh,Đồng bằng Sông Cửu Long
08,Tuyên Quang,Trung du và miền núi Bắc Bộ
86,Vĩnh Long,Đồng bằng Sông Cửu Long
26,Vĩnh Phúc,Đồng bằng sông Hồng
15,Yên Bái,Trung du và miền núi Bắc Bộ
,,
